seq_len,naive_fwd_ms,fma_fwd_ms,tc_fwd_ms,naive_fb_ms,fma_fb_ms,tc_fb_ms,tc_fwd_vs_naive,tc_fwd_vs_fma,tc_fb_vs_naive,tc_fb_vs_fma
128,0.089344,0.098016,0.03584,0.206848,0.38368,0.13824,2.49286,2.73482,1.4963,2.77546
256,0.313344,0.188064,0.0632,0.724992,0.738304,0.256032,4.95797,2.9757,2.83165,2.88364
512,1.18067,0.567296,0.2048,2.91318,1.91283,0.77088,5.765,2.77,3.77904,2.48136
1024,4.55958,1.94048,0.701152,11.2628,6.43562,2.60301,6.50299,2.76756,4.32683,2.47238
2048,17.9292,7.35731,2.72166,44.1958,25.1112,10.0536,6.58759,2.70324,4.39601,2.49773
4096,71.6409,28.8616,10.6831,178.003,101.667,47.6518,6.70602,2.70162,3.73548,2.13355
8192,291.023,114.525,59.4255,-1,393.672,201.019,4.89728,1.92721,-1,1.95838
16384,-1,452.617,197.246,-1,1563.86,723.596,-1,2.29468,-1,2.16123
32768,-1,1808.97,711.564,-1,6301.29,2654.38,-1,2.54224,-1,2.37392
