seq_len,deferred_ms,strict_ms,slowdown
128,0.081024,0.09024,1.11374
256,0.1632,0.214016,1.31137
512,0.49904,0.715776,1.43431
1024,1.48678,1.79069,1.2044
2048,4.89597,5.77638,1.17982
4096,16.1372,19.2636,1.19374
8192,59.4043,72.5002,1.22045
16384,230.068,275.984,1.19958
32768,897.88,1088.4,1.21219
