seq_len,naive_fwd_ms,naive_fwd_mb,flash_fwd_ms,flash_fwd_mb,naive_fb_ms,naive_fb_mb,flash_fb_ms,flash_fb_mb
128,0.089088,12,0.089056,8.01562,0.206816,16,0.362432,8.03125
256,0.312096,32,0.170752,16.0312,0.72272,48,0.698208,16.0625
512,1.18067,96,0.488448,32.0625,2.71462,160,1.70214,32.125
1024,4.58957,320,1.86778,64.125,11.3958,576,6.30374,64.25
2048,17.9108,1152,7.09632,128.25,44.6083,2176,24.6979,128.5
4096,71.6563,4352,28.026,256.5,179.425,8448,97.9743,257
8192,291.552,16896,111.378,513,-1,-1,382.5,514
16384,-1,-1,442.691,1026,-1,-1,1519.69,1028
32768,-1,-1,1768.95,2052,-1,-1,6075.68,2056
